"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2017","1,347.10","1,347.10","1,347.10","1,347.10","1.36K","-1.46%"
"Apr 16, 2017","1,367.00","1,359.80","1,378.00","1,359.80","0.00K","0.02%"
"Apr 09, 2017","1,366.70","1,366.70","1,366.70","1,366.70","0.00K","2.24%"
"Apr 02, 2017","1,336.80","1,333.10","1,333.10","1,333.10","0.01K","0.53%"
"Mar 26, 2017","1,329.80","1,338.70","1,344.00","1,338.70","0.01K","-0.05%"
"Mar 19, 2017","1,330.40","1,316.50","1,316.50","1,316.50","0.00K","1.28%"
"Mar 12, 2017","1,313.60","1,294.00","1,294.00","1,294.00","0.05K","2.31%"
"Mar 05, 2017","1,284.00","1,307.60","1,307.60","1,307.50","0.03K","-1.89%"
"Feb 26, 2017","1,308.80","1,308.80","1,308.80","1,308.80","1.60K","-2.21%"
"Feb 19, 2017","1,338.40","1,338.40","1,338.40","1,338.40","0.04K","1.44%"
"Feb 12, 2017","1,319.40","1,319.40","1,319.40","1,319.40","0.00K","0.37%"
"Feb 05, 2017","1,314.50","1,314.10","1,323.90","1,314.10","0.00K","0.94%"
"Jan 29, 2017","1,302.20","1,289.00","1,291.00","1,289.00","0.00K","2.40%"
"Jan 22, 2017","1,271.70","1,299.60","1,299.60","1,275.10","0.01K","-1.36%"
"Jan 15, 2017","1,289.20","1,284.00","1,284.00","1,284.00","0.00K","0.62%"
"Jan 08, 2017","1,281.30","1,262.80","1,262.80","1,262.80","0.02K","2.04%"
"Jan 01, 2017","1,255.70","1,232.40","1,256.00","1,232.40","0.02K","1.72%"
"Dec 25, 2016","1,234.50","1,239.00","1,239.00","1,239.00","0.01K","1.45%"
"Dec 18, 2016","1,216.80","1,216.80","1,216.80","1,216.80","0.00K","-0.34%"
"Dec 11, 2016","1,220.90","1,220.90","1,220.90","1,220.90","0.01K","-1.22%"
"Dec 04, 2016","1,236.00","1,236.70","1,236.70","1,236.70","0.00K","-0.52%"
"Nov 27, 2016","1,242.40","1,242.40","1,242.40","1,242.40","52.41K","-0.25%"
"Nov 20, 2016","1,245.50","1,245.50","1,245.50","1,245.50","0.34K","-2.42%"
"Nov 13, 2016","1,276.40","1,276.40","1,276.40","1,276.40","0.00K","-0.49%"
"Nov 06, 2016","1,282.70","1,334.00","1,334.00","1,334.00","0.00K","-6.08%"
"Oct 30, 2016","1,365.70","1,365.70","1,365.70","1,365.70","0.15K","2.14%"
"Oct 23, 2016","1,337.10","1,337.10","1,337.10","1,337.10","0.00K","1.07%"
"Oct 16, 2016","1,323.00","1,323.00","1,323.00","1,323.00","0.91K","0.96%"
"Oct 09, 2016","1,310.40","1,310.40","1,310.40","1,310.40","0.81K","0.45%"
"Oct 02, 2016","1,304.50","1,304.50","1,304.50","1,304.50","2.72K","-4.81%"
"Sep 25, 2016","1,370.40","1,383.50","1,383.50","1,383.50","0.05K","-1.83%"
"Sep 18, 2016","1,396.00","1,396.00","1,396.00","1,396.00","0.26K","2.11%"
"Sep 11, 2016","1,367.10","1,386.70","1,386.70","1,378.00","0.26K","-1.87%"
